Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2020,December,4 Western, Moyne,532,"3,117.7", MOYNE,Moyne
2020,December,4 Western, Northern Grampians,834,"7,075.6", NORTHERN GRAMPIANS,Northern Grampians
2020,December,4 Western, Pyrenees,371,"4,927.0", PYRENEES,Pyrenees
2020,December,4 Western, Queenscliffe,100,"3,237.3", QUEENSCLIFFE,Queenscliffe
2020,December,4 Western, Southern Grampians,827,"5,018.5", SOUTHERN GRAMPIANS,Southern Grampians
2020,December,4 Western, Surf Coast,"1,197","3,347.5", SURF COAST,Surf Coast
2020,December,4 Western, Swan Hill,"1,818","8,466.8", SWAN HILL,Swan Hill
2020,December,4 Western, Warrnambool,"2,318","6,555.8", WARRNAMBOOL,Warrnambool
2020,December,4 Western, West Wimmera,131,"3,284.9", WEST WIMMERA,West Wimmera
2020,December,4 Western, Yarriambiack,361,"5,442.5", YARRIAMBIACK,Yarriambiack
2020,December,4 Western,Total,"61,477","5,947.8",TOTAL,Total
2020,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,326",, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2020,December,Justice Institutions and Immigration Facilities,Total,"1,326",,TOTAL,Total
2020,December,Unincorporated Vic, Unincorporated Vic,37,, UNINCORPORATED VIC,Unincorporated Vic
2020,December,Unincorporated Vic,Total,37,,TOTAL,Total
2019,December,1 North West Metro, Banyule,"7,044","5,398.6", BANYULE,Banyule
2019,December,1 North West Metro, Brimbank,"15,147","7,331.2", BRIMBANK,Brimbank
2019,December,1 North West Metro, Darebin,"11,416","7,263.8", DAREBIN,Darebin
2019,December,1 North West Metro, Hobsons Bay,"4,999","5,222.2", HOBSONS BAY,Hobsons Bay
2019,December,1 North West Metro, Hume,"15,878","6,754.0", HUME,Hume
2019,December,1 North West Metro, Maribyrnong,"6,904","7,724.5", MARIBYRNONG,Maribyrnong
2019,December,1 North West Metro, Melbourne,"26,989","15,958.3", MELBOURNE,Melbourne
2019,December,1 North West Metro, Melton,"9,077","5,491.4", MELTON,Melton
2019,December,1 North West Metro, Merri-bek,"10,843","6,051.8", MERRI-BEK,Merri-bek
2019,December,1 North West Metro, Moonee Valley,"6,475","5,127.2", MOONEE VALLEY,Moonee Valley
2019,December,1 North West Metro, Nillumbik,"1,655","2,569.8", NILLUMBIK,Nillumbik
2019,December,1 North West Metro, Whittlesea,"12,070","5,344.8", WHITTLESEA,Whittlesea
2019,December,1 North West Metro, Wyndham,"13,215","4,843.3", WYNDHAM,Wyndham
2019,December,1 North West Metro, Yarra,"11,073","11,479.5", YARRA,Yarra
2019,December,1 North West Metro,Total,"152,785","6,901.3",TOTAL,Total
2019,December,2 Eastern, Alpine,426,"3,306.4", ALPINE,Alpine
2019,December,2 Eastern, Bass Coast,"1,836","4,911.5", BASS COAST,Bass Coast
2019,December,2 Eastern, Baw Baw,"3,606","6,681.5", BAW BAW,Baw Baw
2019,December,2 Eastern, Benalla,961,"6,758.6", BENALLA,Benalla
2019,December,2 Eastern, Boroondara,"6,177","3,440.3", BOROONDARA,Boroondara
2019,December,2 Eastern, East Gippsland,"3,645","7,689.7", EAST GIPPSLAND,East Gippsland
2019,December,2 Eastern, Greater Shepparton,"6,345","9,377.6", GREATER SHEPPARTON,Greater Shepparton
2019,December,2 Eastern, Indigo,434,"2,574.3", INDIGO,Indigo
