LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 ARARAT,2017,913,"7,743.9"
 BALLARAT,2017,"8,956","8,489.3"
 BULOKE,2017,158,"2,541.0"
 CAMPASPE,2017,"2,504","6,627.8"
 CENTRAL GOLDFIELDS,2017,859,"6,511.0"
 COLAC-OTWAY,2017,"1,380","6,393.3"
 CORANGAMITE,2017,708,"4,351.0"
 GANNAWARRA,2017,444,"4,189.9"
 GLENELG,2017,"1,243","6,280.0"
 GOLDEN PLAINS,2017,499,"2,208.0"
 GREATER BENDIGO,2017,"7,200","6,304.6"
 GREATER GEELONG,2017,"17,115","6,950.5"
 HEPBURN,2017,660,"4,204.4"
 HINDMARSH,2017,278,"4,855.9"
 HORSHAM,2017,"1,575","7,888.0"
 LODDON,2017,295,"3,899.5"
 MACEDON RANGES,2017,"1,598","3,302.5"
 MILDURA,2017,"4,804","8,669.9"
 MOORABOOL,2017,"1,737","5,158.7"
 MOUNT ALEXANDER,2017,767,"3,976.8"
 MOYNE,2017,465,"2,772.6"
 NORTHERN GRAMPIANS,2017,842,"7,267.4"
 PYRENEES,2017,357,"4,877.0"
 QUEENSCLIFFE,2017,126,"4,313.6"
 SOUTHERN GRAMPIANS,2017,984,"6,074.4"
 SURF COAST,2017,996,"3,158.4"
 SWAN HILL,2017,"1,773","8,419.2"
 WARRNAMBOOL,2017,"2,650","7,680.9"
 WEST WIMMERA,2017,126,"3,189.1"
 YARRIAMBIACK,2017,355,"5,294.6"
TOTAL,2017,"62,367","6,337.9"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2017,"1,475",
TOTAL,2017,"1,475",
 UNINCORPORATED VIC,2017,119,
TOTAL,2017,119,
 BANYULE,2016,"7,482","5,870.7"
 BRIMBANK,2016,"15,095","7,392.6"
 DAREBIN,2016,"13,227","8,526.6"
 HOBSONS BAY,2016,"5,336","5,710.3"
 HUME,2016,"17,661","8,530.2"
 MARIBYRNONG,2016,"7,190","8,269.9"
 MELBOURNE,2016,"28,281","19,357.8"
 MELTON,2016,"9,066","6,410.7"
 MERRI-BEK,2016,"12,120","7,034.5"
 MOONEE VALLEY,2016,"7,741","6,300.1"
 NILLUMBIK,2016,"2,264","3,527.9"
 WHITTLESEA,2016,"13,076","6,315.1"
 WYNDHAM,2016,"12,370","5,449.1"
 YARRA,2016,"11,291","12,154.7"
TOTAL,2016,"162,200","7,919.9"
 ALPINE,2016,267,"2,122.8"
 BASS COAST,2016,"2,070","6,185.8"
 BAW BAW,2016,"2,921","5,925.4"
 BENALLA,2016,"1,019","7,287.9"
 BOROONDARA,2016,"7,061","3,983.1"
 EAST GIPPSLAND,2016,"3,096","6,789.5"
 GREATER SHEPPARTON,2016,"6,329","9,726.1"
 INDIGO,2016,319,"1,973.4"
 KNOX,2016,"9,162","5,713.6"
 LATROBE,2016,"10,449","14,002.6"
 MANNINGHAM,2016,"3,961","3,231.6"
 MANSFIELD,2016,481,"5,545.3"
 MAROONDAH,2016,"6,771","5,898.1"
 MITCHELL,2016,"3,228","7,723.4"
 MOIRA,2016,"1,368","4,639.5"
 MONASH,2016,"8,962","4,652.6"
 MURRINDINDI,2016,546,"3,885.6"
 SOUTH GIPPSLAND,2016,"1,139","3,911.1"
 STRATHBOGIE,2016,479,"4,624.9"
 TOWONG,2016,176,"2,911.0"
 WANGARATTA,2016,"1,811","6,333.9"
 WELLINGTON,2016,"3,318","7,622.3"
 WHITEHORSE,2016,"6,354","3,745.6"
 WODONGA,2016,"2,496","6,224.4"
 YARRA RANGES,2016,"6,453","4,157.2"
TOTAL,2016,"90,236","5,452.2"
 BAYSIDE,2016,"4,207","4,088.0"
 CARDINIA,2016,"5,381","5,514.8"
 CASEY,2016,"18,198","5,818.0"
 FRANKSTON,2016,"12,484","8,949.0"
 GLEN EIRA,2016,"5,675","3,819.4"
 GREATER DANDENONG,2016,"15,473","9,657.2"
 KINGSTON,2016,"8,656","5,446.0"
 MORNINGTON PENINSULA,2016,"9,116","5,643.6"
 PORT PHILLIP,2016,"10,459","9,628.4"
 STONNINGTON,2016,"9,175","8,265.5"
TOTAL,2016,"98,824","6,580.9"
 ARARAT,2016,867,"7,381.9"
 BALLARAT,2016,"9,475","9,154.6"
 BULOKE,2016,169,"2,689.4"
 CAMPASPE,2016,"2,815","7,487.7"
 CENTRAL GOLDFIELDS,2016,"1,012","7,732.9"
 COLAC-OTWAY,2016,"1,445","6,764.3"
 CORANGAMITE,2016,733,"4,512.7"
 GANNAWARRA,2016,491,"4,646.5"
 GLENELG,2016,"1,374","6,953.8"
 GOLDEN PLAINS,2016,646,"2,934.2"
 GREATER BENDIGO,2016,"7,933","7,066.2"
